,id,position
0,0,Executive
1,1,Executive
2,2,Executive
3,3,Executive
4,4,Executive
5,5,Executive
6,6,Executive
7,7,Assistant
8,8,Assistant
9,9,Assistant
10,10,Executive
11,11,Executive
12,12,Executive
13,13,Executive
14,14,Assistant
15,15,Assistant
16,16,Executive
17,17,Executive
18,18,Executive
19,19,Manager
20,20,Executive
21,21,Executive
22,22,Executive
23,23,Assistant
24,24,Executive
25,25,Director
26,26,Executive
27,27,Assistant
28,28,Executive
29,29,Assistant
30,30,Assistant
31,31,Executive
32,32,Assistant
33,33,Assistant
34,34,Assistant
35,35,Manager
36,36,Executive
37,37,Assistant
38,38,Executive
39,39,Assistant
40,40,Assistant
41,41,Executive
42,42,Executive
43,43,Executive
44,44,Executive
45,45,Director
46,46,Assistant
47,47,Assistant
48,48,Executive
49,49,Executive
50,50,Manager
51,51,Executive
52,52,Executive
53,53,Executive
54,54,Executive
55,55,Executive
56,56,Executive
57,57,Executive
58,58,Assistant
59,59,Assistant
60,60,Executive
61,61,Executive
62,62,Assistant
63,63,Executive
64,64,Executive
65,65,Executive
66,66,Executive
67,67,Executive
68,68,Assistant
69,69,Executive
70,70,Executive
71,71,Executive
72,72,Executive
73,73,Executive
74,74,Executive
75,75,Assistant
76,76,Executive
77,77,Assistant
78,78,Executive
79,79,Executive
80,80,Executive
81,81,Executive
82,82,Assistant
83,83,Assistant
84,84,Executive
85,85,Assistant
86,86,Assistant
87,87,Assistant
88,88,Executive
89,89,Executive
90,90,Executive
91,91,Executive
92,92,Executive
93,93,Executive
94,94,Executive
95,95,Executive
96,96,Executive
97,97,Executive
98,98,Executive
99,99,Assistant
100,100,Manager
101,101,Executive
102,102,Executive
103,103,Executive
104,104,Manager
105,105,Manager
106,106,Executive
107,107,Assistant
108,108,Executive
109,109,Assistant
110,110,Executive
111,111,Executive
112,112,Executive
113,113,Assistant
114,114,Executive
115,115,Executive
116,116,Executive
117,117,Executive
118,118,Assistant
119,119,Executive
120,120,Executive
121,121,Executive
122,122,Manager
123,123,Executive
124,124,Executive
125,125,Assistant
126,126,Assistant
127,127,Manager
128,128,Assistant
129,129,Assistant
130,130,Assistant
131,131,Executive
132,132,Executive
133,133,Assistant
134,134,Assistant
135,135,Executive
136,136,Assistant
137,137,Executive
138,138,Executive
139,139,Executive
140,140,Executive
141,141,Executive
142,142,Manager
143,143,Executive
144,144,Executive
145,145,Executive
146,146,Executive
147,147,Assistant
148,148,Assistant
149,149,Assistant
150,150,Assistant
151,151,Executive
152,152,Assistant
153,153,Executive
154,154,Assistant
155,155,Assistant
156,156,Assistant
157,157,Executive
158,158,Assistant
159,159,Assistant
160,160,Assistant
161,161,Executive
162,162,Executive
163,163,Director
164,164,Executive
165,165,Assistant
166,166,Assistant
167,167,Assistant
168,168,Executive
169,169,Executive
170,170,Executive
171,171,Executive
