images,labels
AE00474_105028_00_4_3_2001.jpg,0
AE00305_043057_00_2_4_2001.jpg,1
AE00191_071651_00_2_2_2001.jpg,1
AE00191_103659_00_2_1_2001.jpg,1
AE00227_204647_00_3_4_2001.jpg,1
AE00370_023945_00_4_3_2001.jpg,0
AE00382_062529_00_3_1_2001.jpg,1
AE00354_062933_00_3_4_2001.jpg,1
AE00402_143834_00_1_2_2001.jpg,0
AE00191_070306_00_3_4_2001.jpg,0
AE00322_161059_00_2_3_2001.jpg,1
AE00389_171715_00_1_2_2001.jpg,1
AE00248_235003_00_2_3_2001.jpg,1
AE00249_011845_00_2_2_2001.jpg,1
AE00472_165539_00_1_4_2001.jpg,0
AE00367_112915_00_3_3_2001.jpg,1
AE00389_222703_00_4_1_2001.jpg,0
AE00402_153148_00_1_2_2001.jpg,0
AE00343_001559_00_2_4_2001.jpg,1
AE00552_132107_00_1_3_2001.jpg,0
AE00545_235736_00_4_4_2001.jpg,0
AE00409_183952_00_1_2_2001.jpg,0
AE00367_041115_00_4_3_2001.jpg,0
AE00227_183324_00_2_3_2001.jpg,1
AE00182_030834_00_3_1_2001.jpg,1
AE00229_002703_00_3_2_2001.jpg,1
AE00402_005532_00_4_2_2001.jpg,1
AE00498_162214_00_1_1_2001.jpg,0
AE00449_232245_00_4_1_2001.jpg,0
AE00331_014413_00_2_2_2001.jpg,1
AE00379_221756_00_4_2_2001.jpg,0
AE00305_104749_00_2_2_2001.jpg,1
AE00191_051107_00_3_1_2001.jpg,1
AE00396_182430_00_1_2_2001.jpg,0
AE00409_190727_00_4_1_2001.jpg,0
AE00500_193036_00_4_3_2001.jpg,0
AE00379_235007_00_3_2_2001.jpg,1
AE00408_014217_00_3_4_2001.jpg,0
AE00191_135016_00_4_4_2001.jpg,1
AE00534_165353_00_1_2_2001.jpg,0
AE00411_074702_00_4_3_2001.jpg,0
AE00227_044500_00_3_1_2001.jpg,1
AE00182_212258_00_2_3_2001.jpg,1
AE00405_133422_00_1_3_2001.jpg,1
AE00191_041900_00_2_3_2001.jpg,1
AE00433_131021_00_1_3_2001.jpg,0
AE00343_181122_00_3_4_2001.jpg,1
AE00354_190545_00_3_2_2001.jpg,1
AE00370_205009_00_2_1_2001.jpg,0
