,Identifiant,target
0,18702,0
1,3877,1
2,4942,0
3,13428,0
4,17137,0
5,7580,1
6,11501,0
7,9102,0
8,11999,0
9,9772,0
10,8043,0
11,19571,0
12,5907,0
13,7226,0
14,10850,0
15,14454,0
16,6189,0
17,5214,0
18,1887,1
19,14852,0
20,12901,0
21,18277,0
22,9210,0
23,16368,0
24,17910,1
25,14025,0
26,17944,0
27,6127,0
28,14116,0
29,12668,0
30,12161,0
31,13018,0
32,15928,1
33,17151,0
34,8501,1
35,18659,0
36,18030,1
37,11721,0
38,10352,0
39,7036,0
40,4607,0
41,502,0
42,19725,0
43,13325,0
44,15867,0
45,15994,0
46,15969,1
47,5842,0
48,11886,0
49,18816,1
50,14074,0
51,13577,0
52,7584,0
53,6168,0
54,14349,0
55,17360,0
56,19922,0
57,16428,0
58,7607,0
59,4536,0
60,10707,0
61,9744,0
62,7699,0
63,15896,0
64,2490,1
65,2671,1
66,1322,0
67,11545,0
68,10686,0
69,8476,0
70,15816,1
71,1903,1
72,6296,0
73,2799,1
74,14504,0
75,15941,0
76,14284,0
77,13446,0
78,12758,0
79,16735,1
80,6458,0
81,10098,0
82,11296,0
83,10770,0
84,17520,0
85,2056,1
86,2586,0
87,4296,0
88,13271,0
89,70,1
90,6897,0
91,10973,0
92,4187,1
93,11901,1
94,15222,0
95,11119,0
96,2593,0
97,10177,0
98,11743,0
99,16045,0
100,10116,0
101,3805,1
102,19077,0
103,15833,1
104,16085,1
105,13470,0
106,4878,0
107,13093,0
108,792,0
109,7480,1
110,13622,0
111,19090,0
112,7301,0
113,10781,0
114,760,0
115,11415,0
116,13130,0
117,19561,1
118,9960,1
119,7601,0
120,15282,0
121,17796,0
122,7677,0
123,10147,0
124,106,0
125,7873,0
126,5558,1
127,18463,1
128,18695,0
129,16147,0
130,9798,1
131,6261,0
132,267,0
133,15429,0
134,6964,0
135,15368,0
136,5078,0
137,6908,0
138,12975,0
139,3901,0
140,780,0
141,5435,0
142,11689,0
143,4622,0
144,11097,1
145,9008,1
146,11144,0
147,11987,0
148,9799,1
149,2619,1
150,940,0
151,7516,0
152,8923,0
153,9406,0
154,4631,0
155,1063,0
156,18903,0
157,5865,0
158,15562,0
159,4142,0
160,8379,0
161,18315,0
162,3644,0
163,8750,0
164,7038,0
165,17752,0
166,17052,0
167,13257,0
168,15873,0
169,7136,0
170,18926,0
171,5348,1
172,18008,0
173,1431,1
174,13525,0
175,19002,1
176,5159,0
177,16524,0
178,4214,0
179,6953,0
180,19010,0
181,14543,0
182,12617,0
183,5588,0
184,16835,0
185,8518,0
186,9020,0
187,16408,0
188,18355,1
189,7553,0
190,13800,0
191,18518,0
192,6878,0
193,13907,1
194,2371,0
195,16411,0
196,18264,0
197,15989,0
198,10833,0
199,15602,0
200,19257,0
201,1290,0
202,15731,1
203,3297,0
204,16958,0
205,1533,0
206,8391,0
207,14258,0
208,16342,0
209,4842,0
210,4446,0
211,6887,1
212,6525,0
213,455,0
214,8580,1
215,5167,1
216,2209,1
217,18940,1
218,17832,1
219,19427,1
220,5400,0
221,2282,0
222,13932,0
223,9962,0
224,7824,0
225,9584,0
226,2756,1
227,5042,1
228,7264,1
229,3826,0
230,3827,0
231,7041,0
232,11135,0
233,17812,0
234,15870,0
235,18493,0
236,9693,1
237,8684,0
238,8628,0
239,1510,0
240,815,0
241,13942,0
242,6302,0
243,6938,0
244,14872,0
245,12418,1
246,5356,1
247,8523,0
248,11519,0
249,5487,0
250,11762,0
251,15860,0
252,17975,0
253,14015,0
254,16676,0
255,6936,0
256,12176,1
257,8468,0
258,18989,0
259,10629,0
260,10052,0
261,368,0
262,16695,0
263,8069,0
264,13686,0
265,2775,0
266,13465,0
267,12938,1
268,9384,0
269,18938,0
270,17221,0
271,10054,0
272,681,0
273,15760,0
274,16980,1
275,5141,1
276,1351,0
277,15771,0
278,17572,1
279,319,1
280,3272,0
